epoch,loss,mae,val_loss,val_mae
28,0.607283829,0.607283829,0.738470202,0.738470202
30,0.599833454,0.599833454,0.740015233,0.740015233
26,0.617978241,0.617978241,0.740688085,0.740688085
43,0.556957514,0.556957514,0.744296463,0.744296463
27,0.612005945,0.612005945,0.744560453,0.744560453
37,0.580794228,0.580794228,0.744728628,0.744728628
29,0.604015186,0.604015186,0.745526977,0.745526977
20,0.664122378,0.664122378,0.745937274,0.745937274
22,0.645754143,0.645754143,0.745939568,0.745939568
32,0.593334237,0.593334237,0.746084854,0.746084854
38,0.57739787,0.57739787,0.746180707,0.746180707
24,0.633379236,0.633379236,0.746183443,0.746183443
23,0.639916954,0.639916954,0.746233824,0.746233824
25,0.626060008,0.626060008,0.746352106,0.746352106
21,0.653909539,0.653909539,0.746646917,0.746646917
35,0.586006343,0.586006343,0.746764173,0.746764173
39,0.57540892,0.57540892,0.746957622,0.746957622
42,0.560049602,0.560049602,0.747869916,0.747869916
36,0.582890509,0.582890509,0.748145741,0.748145741
45,0.552833383,0.552833383,0.748824579,0.748824579
44,0.556449795,0.556449795,0.7488465,0.7488465
31,0.596181106,0.596181106,0.749286587,0.749286587
33,0.590958571,0.590958571,0.74971703,0.74971703
54,0.537369739,0.537369739,0.749916072,0.749916072
41,0.568540164,0.568540164,0.75069188,0.75069188
55,0.536288199,0.536288199,0.752484545,0.752484545
34,0.587114887,0.587114887,0.752632725,0.752632725
51,0.53992425,0.53992425,0.753020008,0.753020008
52,0.538447783,0.538447783,0.753480738,0.753480738
47,0.54848099,0.54848099,0.753902593,0.753902593
53,0.536885807,0.536885807,0.754006352,0.754006352
50,0.543497654,0.543497654,0.754804873,0.754804873
46,0.550894219,0.550894219,0.755483663,0.755483663
40,0.572539401,0.572539401,0.755701737,0.755701737
18,0.683285943,0.683285943,0.756365539,0.756365539
48,0.546982553,0.546982553,0.756423808,0.756423808
56,0.535296515,0.535296515,0.757230046,0.757230046
49,0.544576852,0.544576852,0.757922571,0.757922571
17,0.689409674,0.689409674,0.758571292,0.758571292
58,0.530023764,0.530023764,0.7587529,0.7587529
57,0.532404856,0.532404856,0.760644716,0.760644716
60,0.524846442,0.524846442,0.761137321,0.761137321
61,0.525276956,0.525276956,0.761557419,0.761557419
59,0.528735238,0.528735238,0.76260086,0.76260086
16,0.696304999,0.696304999,0.762762558,0.762762558
19,0.67676627,0.67676627,0.764273048,0.764273048
65,0.518146176,0.518146176,0.765009381,0.765009381
63,0.519593416,0.519593416,0.766918875,0.766918875
15,0.705578497,0.705578497,0.767078515,0.767078515
66,0.516189884,0.516189884,0.7694005,0.7694005
14,0.71537061,0.71537061,0.77019442,0.77019442
62,0.522331391,0.522331391,0.770362984,0.770362984
64,0.518285578,0.518285578,0.77112379,0.77112379
69,0.511684244,0.511684244,0.772926052,0.772926052
67,0.514548027,0.514548027,0.773526103,0.773526103
68,0.512464943,0.512464943,0.775428907,0.775428907
72,0.508772249,0.508772249,0.775838186,0.775838186
71,0.510233855,0.510233855,0.775923383,0.775923383
13,0.727785204,0.727785204,0.776972674,0.776972674
70,0.509329244,0.509329244,0.777593919,0.777593919
75,0.505325938,0.505325938,0.778022402,0.778022402
78,0.500405764,0.500405764,0.779517461,0.779517461
77,0.502628206,0.502628206,0.783652657,0.783652657
76,0.503349781,0.503349781,0.784159964,0.784159964
12,0.742559762,0.742559762,0.784940718,0.784940718
74,0.509479604,0.509479604,0.785939448,0.785939448
73,0.508602739,0.508602739,0.786435274,0.786435274
11,0.769189102,0.769189102,0.796124568,0.796124568
10,0.784510676,0.784510676,0.812145717,0.812145717
9,0.801979151,0.801979151,0.8175731,0.8175731
8,0.833023682,0.833023682,0.840663365,0.840663365
7,0.865685785,0.865685785,0.868294472,0.868294472
6,0.902265556,0.902265556,0.894936002,0.894936002
5,0.953828103,0.953828103,0.924163724,0.924163724
4,1.010429033,1.010429033,0.985991254,0.985991254
3,1.079939654,1.079939654,1.040162624,1.040162624
2,1.222884897,1.222884897,1.127014798,1.127014798
1,1.403543006,1.403543006,1.303243193,1.303243193
0,1.7058407,1.7058407,1.508619799,1.508619799
